track_ids,danergy,acousticness,instrumentalness,valence,loudness,tempo,duration_secs
0E29BKKGCJHcb7b9oIWgGB,0.6465,0.0746,0.0,0.529,-5.368,166.166,242.2
4B2jOTUZBnlrjLHK1ertFR,0.5409999999999999,0.182,0.0,0.899,-10.991,148.882,183.52
2hjAc6x8EoSLhGxRNg8KEw,0.38149999999999995,0.841,4.37e-05,0.334,-18.758,77.464,155.453
683b4ikwa62JevCjwrmfg6,0.44399999999999995,0.501,8.3e-06,0.563,-12.207,67.409,274.04
3lh3iiiJeiBXHSZw6u0kh6,0.5660000000000001,0.367,0.00254,0.797,-10.266,86.204,205.613
4ePP9So5xRzspjLFVVbj90,0.7275,0.00162,2.1e-06,0.836,-10.71,103.731,256.733
0Yi128S6QgQDnAKg5A0OZw,0.5575,0.245,0.0,0.487,-7.289,83.653,208.067
46RVKt5Edm1zl0rXhPJZxz,0.768,0.0485,0.0261,0.891,-4.7,107.231,220.867
1WYEDcS7WGjv0rG7rmMX3o,0.6345000000000001,0.0339,0.0,0.537,-6.015,171.157,359.547
6jA1EDXarBl4yIGlMdHHGe,0.6635,0.0143,0.0,0.561,-8.07,117.351,266.667
4vDBJeeQCbhP9FaPPMsYkY,0.5135,0.602,7.58e-06,0.602,-10.016,100.22,268.333
3APayTEWiUl9Ssep4BOXR2,0.7435,0.0746,5.56e-05,0.599,-3.04,96.315,244.813
3aZPzF7Sr0zy3K0EkKyEzk,0.7055,0.277,0.003,0.926,-5.83,159.719,242.64
0n0eMsX7WgEtc7dlscbuKU,0.7324999999999999,0.0212,0.0,0.709,-5.095,160.021,221.893
2BdSaGVMxZzEeJYjjrlo6n,0.6835,0.0243,0.0,0.6,-7.971,83.987,261.707
6BQNJ0JFKh8sWjQLI6Zudi,0.6395,0.492,0.00563,0.542,-8.8,96.887,234.867
0z5E34e7ZT3XKMYQNXh6tH,0.54,0.63,0.0,0.21,-8.368,131.727,289.227
4QjjabJx7K14tHwxEVI0Xc,0.7075,0.214,1.55e-06,0.779,-5.636,97.854,228.733
2W2ieVidLIx9TDvxu0ZT6F,0.6905,0.0341,0.00479,0.824,-10.46,103.789,253.593
1OSHt41JSH5iFCltNMmBGO,0.758,0.0289,0.00829,0.736,-4.717,120.717,310.867
26JRni5Lqiyd9GNnlaz6DI,0.6295,0.0109,1.01e-06,0.643,-10.54,73.962,180.533
32lF1rsInDTdK6Av3KdfaY,0.761,0.17,0.0,0.744,-5.396,113.967,300.773
2vvwBjUBTQWZMIum68CPWx,0.4175,0.352,3.85e-06,0.321,-10.295,71.578,302.253
0RqAAh0k42Kx2bizDsYxKw,0.6875,0.649,0.0513,0.906,-10.107,90.203,251.4
62YYgRJArxcg2Gylt2nIvz,0.2905,0.91,0.00547,0.0855,-11.831,122.191,163.093
4NpJelqZbsX8U8CY1XF2p1,0.4675,0.643,1.86e-05,0.214,-11.813,139.259,232.667
1PEqh7awkpuepLBSq8ZwqD,0.5985,0.627,0.421,0.122,-11.977,103.773,239.96
6Qm9MaditCcx5V62rVHYqu,0.6605,0.273,0.0,0.257,-3.876,94.841,237.44
38A0qlAEbx9kP2StogKH00,0.548,0.22,0.0,0.409,-4.222,185.495,238.52
0kr6d8wHDQPlzuET33NVn6,0.6094999999999999,0.00466,0.00303,0.652,-9.101,96.103,217.68
0ySdXfvOy7zCc59yz2Dx8q,0.7284999999999999,0.0588,0.0,0.759,-3.959,187.338,206.76
6wFemJ1Oh4gnTalNKgtvBg,0.734,0.222,0.0,0.867,-4.583,138.208,302.04
6JGQ98So2ik5GVI9ydQ2Yh,0.6295,0.251,2.1e-05,0.554,-5.439,76.071,262.747
7MoKXLQeI0Bh2QodCjDO4K,0.6645,0.0263,0.683,0.964,-7.516,126.007,230.64
27QvYgBk0CHOVHthWnkuWt,0.8085,0.00379,0.00351,0.329,-6.449,115.998,316.813
4k6ktr10Hczmh55NY3LfJy,0.825,0.0542,0.00184,0.946,-5.567,115.625,368.28
2m0M7YqCy4lXfedh18qd8N,0.7925,0.0658,0.00832,0.804,-4.164,116.467,285.093
1z3ugFmUKoCzGsI6jdY4Ci,0.733,0.264,2.11e-05,0.257,-5.285,111.037,342.68
0vVchT7htyhheP8anAnLMR,0.7430000000000001,0.000497,0.455,0.703,-6.194,127.209,273.827
3kme5Qos8h04yrKxsgur79,0.7775000000000001,0.0261,0.0,0.865,-5.039,113.239,229.28
6ioBgySxoeQKALvAeLEmId,0.7985,0.0108,0.0,0.893,-4.585,115.57,239.093
4FMNpPI7mkhdeFCCk6fZiE,0.7855000000000001,0.082,3.87e-05,0.371,-5.186,119.867,238.36
4B2r9HXgUqRcPwUG3BYPlc,0.765,0.0298,0.0036,0.827,-3.073,136.098,242.24
6B4oVElDIKRNcNUary0WG7,0.6905,0.107,0.0,0.511,-6.606,95.001,224.32
7izFzcBTx3DVXFeFYDeZKB,0.47850000000000004,0.341,0.0,0.319,-7.698,80.133,320.467
